CI ID,Node IP Address,Node Hostname,Resource IP Address,Resource Name,Operational Status,Resource Type,Resource Description,Resource Alias,Poll Period,Polling,Tags,Bandwidth Configured,Link Id,Link Name,Link Mode,ISP Name,Link Bundle Name,Link Bundle Capacity (Mbps),Requesters
"""131372426447696171208""",10.204.0.49,KKD_VALLITHODE_PRI.federalbank.co.in,10.204.26.1;10.204.26.2;10.204.49.1;10.204.49.2,BV1,UP,Ethernet,BVI1,\--- LAN ---,300,Enabled,Quadtri,,,,Secondary,,,,
"""128532418969522409523""",10.204.0.56,KKD-PANDIKAD-PRI.federalbank.co.in,,Gi0/0,UP,Ethernet,GigabitEthernet0/0,\--- LAN ---,300,Enabled,,,,,Secondary,,,,
"""125374599055499333944""",10.204.0.54,KKD-KUTTIPURAM-PRI.federalbank.co.in,10.100.34.145,Gi0/1,UP,Ethernet,GigabitEthernet0/1,\--- BSNL 6 Mbps ---,300,Enabled,BSNL;Quadtri,,,,Secondary,,,,
"""130809956061464760594""",10.204.119.4,KKD_PAZHAYANGADI_switch.federalbank.co.in,,Gi1/0/16,UP,Ethernet,GigabitEthernet1/0/16,STRING:,300,Enabled,,,,,Secondary,,,,
"""131328987011830780444""",10.204.43.4,KKD_MUKKAM_switch.federalbank.co.in,,Gi1/0/14,UP,Ethernet,GigabitEthernet1/0/14,STRING:,300,Enabled,,,,,Primary,,,,
"""131040727006847177122""",10.204.44.240,KKD_KANNUR-SOUTH-BAZAR_SW2.federalbank.co.in,,Gi1/0/2,UP,Ethernet,GigabitEthernet1/0/2,STRING:,300,Enabled,,,,,Primary,,,,
"""131040727006847177134""",10.204.44.240,KKD_KANNUR-SOUTH-BAZAR_SW2.federalbank.co.in,,Gi1/0/8,UP,Ethernet,GigabitEthernet1/0/8,STRING:,300,Enabled,,,,,Primary,,,,
"""131300125691131990484""",10.204.44.4,KKD_KANNUR_SOUTH_BAZAR_switch.federalbank.co.in,,Gi1/0/24,UP,Ethernet,GigabitEthernet1/0/24,STRING:,300,Enabled,,,,,Primary,,,,
"""125374660427360768441""",10.204.44.241,KKD_KANNUR-SOUTH-BAZAR_SW3.federalbank.co.in,,Gi1/0/5,UP,Ethernet,GigabitEthernet1/0/5,STRING:,300,Enabled,,,,,Primary,,,,
"""125374660427360768477""",10.204.44.241,KKD_KANNUR-SOUTH-BAZAR_SW3.federalbank.co.in,,Gi1/0/23,UP,Ethernet,GigabitEthernet1/0/23,STRING:,300,Enabled,,,,,Primary,,,,
